Ciudad,Nombre,Telefono,Direccion,Calificacion,Num_Resenas,Enlace_Actual,Link_Google_Maps
Monterrey,Guadalupana Cosmetics,,,"4,4",997,,https://www.google.com/maps/place/Guadalupana+Cosmetics/data=!4m7!3m6!1s0x8662be27cf47f313:0xc647b224b9d652f8!8m2!3d25.6724368!4d-100.3169853!16s%2Fg%2F11c1n6p57q!19sChIJE_NHzye-YoYR-FLWuSSyR8Y
Monterrey,Pulga Río,81 1824 0601,,"4,2",10505,,https://www.google.com/maps/place/Pulga+R%C3%ADo/data=!4m7!3m6!1s0x8662be2208c59e45:0x6bf9c68382803e2f!8m2!3d25.667616!4d-100.3274245!16s%2Fg%2F1wk6_5vb!19sChIJRZ7FCCK-YoYRLz6AgoPG-Ws
Monterrey,SANYELI,81 8342 6156,,"4,3",46,,https://www.google.com/maps/place/SANYELI/data=!4m7!3m6!1s0x8662be261c76ccad:0xc5c9100b1d1d4669!8m2!3d25.6697029!4d-100.3163975!16s%2Fg%2F1hhj3kzhs!19sChIJrcx2HCa-YoYRaUYdHQsQycU
Monterrey,PIAUS PERFUMERÍA,81 1229 8094,,"4,3",67,,https://www.google.com/maps/place/PIAUS+PERFUMER%C3%8DA/data=!4m7!3m6!1s0x8662bd7b89fcc6e3:0x7bb435b7cd85763e!8m2!3d25.6629044!4d-100.4021286!16s%2Fg%2F11bwf89xt7!19sChIJ48b8iXu9YoYRPnaFzbc1tHs
Monterrey,Bissu Monterrey,81 3088 2703,,"4,3",147,,https://www.google.com/maps/place/Bissu+Monterrey/data=!4m7!3m6!1s0x8662bd44c5e72841:0xe7c882bf06659d54!8m2!3d25.6747388!4d-100.3181815!16s%2Fg%2F11mv4vym4j!19sChIJQSjnxUS9YoYRVJ1lBr-CyOc
Monterrey,Sephora Punto Valle,81 1363 0638,,"4,2",205,,https://www.google.com/maps/place/Sephora+Punto+Valle/data=!4m7!3m6!1s0x8662bd4adba4b6e3:0xef29736de74574e4!8m2!3d25.6589058!4d-100.3545857!16s%2Fg%2F11fk5pyhmf!19sChIJ47ak20q9YoYR5HRF521zKe8
Monterrey,Sephora Fashion Drive,81 1306 7261,,"4,3",786,,https://www.google.com/maps/place/Sephora+Fashion+Drive/data=!4m7!3m6!1s0x8662be133c00efdd:0xb943b066d2c0b5f!8m2!3d25.6512853!4d-100.3348976!16s%2Fg%2F11c7013gv0!19sChIJ3e8APBO-YoYRXwssbQY7lAs
Monterrey,Jafra Monterrey,81 1734 0170,,"4,7",80,,https://www.google.com/maps/place/Jafra+Monterrey/data=!4m7!3m6!1s0x8662bdff0953fb47:0xda57222d8f2ab7c6!8m2!3d25.6702466!4d-100.3526441!16s%2Fg%2F11c53626h9!19sChIJR_tTCf-9YoYRxrcqjy0iV9o
Monterrey,Saniye Beautiful Cosmetics,,,"4,2",34,,https://www.google.com/maps/place/Saniye+Beautiful+Cosmetics/data=!4m7!3m6!1s0x8662bfd24737a44d:0x5e06abdbb4f37148!8m2!3d25.6718424!4d-100.3158358!16s%2Fg%2F11f8j03wvt!19sChIJTaQ3R9K_YoYRSHHztNurBl4
Monterrey,Beauty Time,81 2466 0237,,"4,9",120,,https://www.google.com/maps/place/Beauty+Time/data=!4m7!3m6!1s0x866295f38831b2b7:0x316b56ac77c5c621!8m2!3d25.679868!4d-100.3309531!16s%2Fg%2F11bwqmd4c2!19sChIJt7IxiPOVYoYRIcbFd6xWazE
Monterrey,Lulu Peña Studio,81 1683 0608,,"5,0",86,,https://www.google.com/maps/place/Lulu+Pe%C3%B1a+Studio/data=!4m7!3m6!1s0x866295dea8f6167d:0x4d8bbfd14900702c!8m2!3d25.6954774!4d-100.3481257!16s%2Fg%2F11cn6tc0nx!19sChIJfRb2qN6VYoYRLHAASdG_i00
Monterrey,Bellísima Galerías Monterrey,81 2585 7414,,"4,1",59,,https://www.google.com/maps/place/Bell%C3%ADsima+Galer%C3%ADas+Monterrey/data=!4m7!3m6!1s0x866296066508de05:0x4af1b2a30f4997fe!8m2!3d25.6828173!4d-100.3547203!16s%2Fg%2F11gxsbzs6j!19sChIJBd4IZQaWYoYR_pdJD6Oy8Uo
Monterrey,Distribell | Productos de Belleza,81 8374 3829,,"4,1",20,,https://www.google.com/maps/place/Distribell+%7C+Productos+de+Belleza/data=!4m7!3m6!1s0x866295463ed00773:0xe9d0f2c3b0d939d3!8m2!3d25.6816338!4d-100.3135646!16s%2Fg%2F11fswfy1p4!19sChIJcwfQPkaVYoYR0znZsMPy0Ok
